Past,EVT,ACRES
Past Conifer,Hardwood,2032965
Past Conifer,Conifer,1835659
Past Conifer,Riparian,980549
Past Conifer,Developed,227766
Past Conifer,Agricultural,208533
Past Conifer,Exotics,207313
Past Conifer,Conifer-Hardwood,106962
Past Conifer,Grassland,283
Past Conifer,Shrubland,206
Past Hardwood,Riparian,509654
Past Hardwood,Hardwood,257590
Past Hardwood,Conifer,47655
Past Hardwood,Developed,42146
Past Hardwood,Agricultural,36125
Past Hardwood,Exotics,15509
Past Hardwood,Conifer-Hardwood,1639
Past Hardwood,Grassland,87
Past Hardwood,Shrubland,3
Past Hardwood-Conifer,Hardwood,66047
Past Hardwood-Conifer,Conifer,48936
Past Hardwood-Conifer,Riparian,18457
Past Hardwood-Conifer,Developed,11912
Past Hardwood-Conifer,Agricultural,8749
Past Hardwood-Conifer,Exotics,4145
Past Hardwood-Conifer,Conifer-Hardwood,3082
Past Riparian,Riparian,3049480
Past Riparian,Hardwood,235873
Past Riparian,Conifer,190737
Past Riparian,Developed,39415
Past Riparian,Exotics,35882
Past Riparian,Agricultural,30130
Past Riparian,Conifer-Hardwood,4284
Past Riparian,Grassland,90
Past Riparian,Shrubland,16
