"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1608,12103453,14770,41,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,NA,123,105,15,NA,85,"III-B",106,0,138,0.415686275,0,0.541176471,2691743,24.1
"2",1598,11545093,13653,41,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,NA,76,68,32,NA,"III-A",255,255,145,1,1,0.568627451,2567567,23
"3",1596,7431517,13651,41,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,NA,213,85,15,NA,"V-A",147,194,114,0.576470588,0.760784314,0.447058824,1652730,14.8
"4",11,4111249,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,914320,8.2
"5",1593,3390517,13440,41,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,NA,NA,82,100,NA,NA,"IV-A",255,140,140,1,0.549019608,0.549019608,754033,6.7
"6",1605,2165348,14440,41,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",NA,581,312,203,NA,35,65,"V-A",69,69,156,0.270588235,0.270588235,0.611764706,481562,4.3
"7",1610,1945681,14810,41,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,NA,NA,989,100,NA,NA,"V-B",232,189,255,0.909803922,0.741176471,1,432709,3.9
"8",1588,1752471,13022,41,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,NA,NA,2040,100,NA,NA,"V-B",76,230,0,0.298039216,0.901960784,0,389740,3.5
"9",1597,1625418,13652,41,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,NA,516,55,45,NA,"V-B",110,137,70,0.431372549,0.537254902,0.274509804,361484,3.2
"10",1613,1611685,14940,41,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,NA,NA,18,100,NA,NA,"II-C",0,168,107,0,0.658823529,0.419607843,358430,3.2
"11",1602,1185114,14072,41,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258823529,0.392156863,263563,2.4
"12",2724,724636,13622,41,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,NA,40,34,15,NA,85,"I-C",255,167,127,1,0.654901961,0.498039216,161155,1.4
"13",1607,436392,14750,41,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",NA,435,68,59,NA,14,86,"III-A",122,143,245,0.478431373,0.560784314,0.960784314,97051,0.9
"14",1591,125558,13140,41,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,NA,857,467,46,NA,54,"V-A",237,161,102,0.929411765,0.631372549,0.4,27923,0.2
"15",1592,35878,13310,41,"13310_39_40_41","Eastern Great Plains Tallgrass Aspen Parkland","Hardwood",16,NA,8,6,35,NA,65,"I-B",220,240,0,0.862745098,0.941176471,0,7979,0.1
"16",-9999,14310,-9999,NA,NA,"NoData","NoData",NA,NA,NA,NA,NA,NA,NA,NA,255,255,255,1,1,1,3182,0
"17",31,64,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,14,0
"18",1589,10,13022,41,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,NA,NA,2040,100,NA,NA,"V-B",76,230,150,0.298039216,0.901960784,0.588235294,2,0
"19",1590,8821,13100,41,"13100_41_62","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",74,56,23,13,18,24,58,"I-B",176,163,222,0.690196078,0.639215686,0.870588235,1962,0
"20",1599,272,13940,41,"13940_39_40_41","North-Central Interior Oak Savanna","Hardwood",550,165,5,5,1,3,96,"I-A",230,213,138,0.901960784,0.835294118,0.541176471,60,0
"21",1600,3170,13950,41,"13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921568627,0.690196078,705,0
"22",1601,778,14071,41,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,4,6,90,"I-A",153,66,0,0.6,0.258823529,0,173,0
"23",1603,533,14120,41,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839215686,0,0.615686275,119,0
"24",1604,7404,14200,41,"14200_41","Northern Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",184,132,29,0.721568627,0.517647059,0.11372549,1647,0
"25",1606,842,14710,41,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",NA,432,67,58,NA,14,86,"III-A",0,191,176,0,0.749019608,0.690196078,187,0
"26",1609,456,14790,41,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,NA,NA,987,100,NA,NA,"V-B",207,61,255,0.811764706,0.239215686,1,101,0
"27",1611,93,14920,41,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431373,0.960784314,0.792156863,21,0
"28",1612,65,14930,41,"14930_41_42_44_50","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,NA,NA,17,100,NA,NA,"II-C",240,150,20,0.941176471,0.588235294,0.078431373,14,0
"29",1646,3614,13010,40,"13010_40","Boreal Aspen-Birch Forest","Conifer",82,NA,NA,82,100,NA,NA,"IV-A",255,245,56,1,0.960784314,0.219607843,804,0
"30",1647,62,13020,40,"13020_40","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2109,NA,NA,2109,100,NA,NA,"V-B",76,230,0,0.298039216,0.901960784,0,14,0
"31",1649,1986,13310,40,"13310_39_40_41","Eastern Great Plains Tallgrass Aspen Parkland","Hardwood",16,NA,8,6,35,NA,65,"I-B",220,240,0,0.862745098,0.941176471,0,442,0
"32",1650,239,13651,40,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,NA,213,85,15,NA,"V-A",147,194,114,0.576470588,0.760784314,0.447058824,53,0
"33",1652,134,13940,40,"13940_39_40_41","North-Central Interior Oak Savanna","Hardwood",550,165,5,5,1,3,96,"I-A",230,213,138,0.901960784,0.835294118,0.541176471,30,0
"34",1653,796,14120,40,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839215686,0,0.615686275,177,0
"35",1654,5274,14200,40,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,NA,NA,6,100,NA,NA,"II-B",184,132,29,0.721568627,0.517647059,0.11372549,1173,0
"36",1655,2,14690,40,"14690_31_39_40_43","Eastern Great Plains Floodplain Systems","Riparian",517,77,176,48,9,63,28,"III-A",75,170,190,0.294117647,0.666666667,0.745098039,0,0
"37",1656,24655,14770,40,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,NA,123,105,15,NA,85,"III-B",106,0,138,0.415686275,0,0.541176471,5483,0
"38",1657,60,14820,40,"14820_39_40","Great Plains Prairie Pothole","Grassland",50,NA,NA,50,100,NA,NA,"IV-A",156,100,163,0.611764706,0.392156863,0.639215686,13,0
"39",1658,761,14950,40,"14950_31_39_40","Western Great Plains Depressional Wetland Systems","Riparian",20,NA,NA,20,100,NA,NA,"II-C",104,0,156,0.407843137,0,0.611764706,169,0
